Year,DOI,Publication
2017,10.1051/0004-6361/201629313,"Shimwell, T.W., Röttgering, H.J.A., Best, P.N., et al., 2017, A&A, Volume 598, id.A104, The LOFAR Two-metre Sky Survey. I. Survey description and preliminary data release"
2017,10.1093/mnras/stw2818,"Oonk, J.B.R., van Weeren, R.J., Salas, P., et al., 2017, MNRAS, Volume 465, p.1066, Carbon and hydrogen radio recombination lines from the cold clouds towards Cassiopeia A"
2017,10.1051/0004-6361/201630008,"Shulevski A., Morganti R., Harwood J.J., et al., 2017, A&A, Volume 600, id.A65, Radiative age mapping of the remnant radio galaxy B2 0924+30: the LOFAR perspective"
2017,10.3847/1538-4357/aa63e7,"Patil A.H., Yatawatta S., Koopmans, L.V.E., et al., 2017, ApJ, Volume 838, id.65, Upper Limits on the 21 cm Epoch of Reionization Power Spectrum from One Night with LOFAR"
2017,10.1093/mnras/stx239,"Salas, P., Oonk, J.B.R., van Weeren, R.J., et al., 2017, MNRAS, Volume 467, p.2274, LOFAR observations of decameter carbon radio recombination lines towards Cassiopeia A"
2017,10.1093/mnras/stx959,"Morabito, L.K, Williams, W.L., Duncan, K.J., et al., 2017, MNRAS, Volume 469, Issue 2, p.1883, Investigating the unification of LOFAR-detected powerful AGN in the Boötes field"
2017,10.1093/mnras/stx1040,"Calistro Rivera, G.; Williams, W. L.; Hardcastle, M. J., et al. 2017, MNRAS, Volume 469, Issue 3, p.3468, The LOFAR window on star-forming galaxies and AGNs - curved radio SEDs and IR-radio correlation at 0〈z〈2.5 "
2017,10.1093/mnras/stx1151,"Geyer, M.; Karastergiou, A.; Kondratiev, V. I., et al., MNRAS, Volume 470, Issue 3, p.2659, Scattering analysis of LOFAR pulsar observations "
2017,10.1051/0004-6361/201630152,"Clarke, A. O.; Heald, G.; Jarrett, T.; Bray, J. D., et al., A&A, Volume 601, A25, LOFAR MSSS: Discovery of a 2.56 Mpc giant radio galaxy associated with a disturbed galaxy group "
2017,10.1016/j.ascom.2017.04.001,"Sabater, J.; Sánchez-Expósito, S.; Best, P. et al., Astronomy and Computing, Volume 19, p.75, Calibration of LOFAR data on the cloud "
2017,10.1093/mnras/stx1645,"Hoang, D. N.; Shimwell, T. W.; Stroe, A., et al., MNRAS Volume 471, Issue 1, p.1107-1125, Deep LOFAR observations of the merging galaxy cluster CIZA J2242.8+5301"
2017,10.3847/2041-8213/aa8400,"Bassa, C. G.; Pleunis, Z.; Hessels, J. W. T.; et al., ApJ Volume 846, Issue 2, article id. L20, LOFAR Discovery of the Fastest-spinning Millisecond Pulsar in the Galactic Field "
2017,10.3847/2041-8213/aa83ff,"Pleunis, Z.; Bassa, C. G.; Hessels, J. W. T.; et al., ApJ Volume 846, Issue 2, article id. L19, A Millisecond Pulsar Discovery in a Survey of Unidentified Fermi γ-Ray Sources with LOFAR "
2017,10.1051/0004-6361/201730940,"Kokotanekov, G.; Wise, M.; Heald, G. H.; et al., Volume 605, id.A48, LOFAR MSSS: The scaling relation between AGN cavity power and radio luminosity at low radio frequencies"
2017,10.1051/0004-6361/201630014,"Venturi, T.; Rossetti, M.; Brunetti, G.; et al., The two-component giant radio halo in the galaxy cluster Abell 2142 "
2017,10.1553/PRE8s301,"Turner, Jake D.; Grießmeier, Jean-Mathias; Zarka, Philippe; Vasylieva, Iaroslavna, 2017,  in ""Planetary Radio Emissions VIII"" (refereed proceedings) "
2017,10.3847/1538-4357/aa8994,"Swiggum, J. K.; Kaplan, D. L.; McLaughlin, M. A., et al., Astrophysical Journal, Volume 847, Issue 1, article id. 25, A Multiwavelength Study of Nearby Millisecond Pulsar PSR J1400-1431: Improved Astrometry and an Optical Detection of Its Cool White Dwarf Companion "
2017,10.1038/s41550-017-0223-0,"Morganti, R., Nature Astronomy, Volume 1, p. 596-605,  Archaeology of active galaxies across the electromagnetic spectrum"
2017,10.1051/0004-6361/201629996,"Morosan, D. E.; Gallagher, P. T.; Fallows, R. A., et al., Astronomy & Astrophysics, Volume 606, id.A81, The association of a J-burst with a solar jet "
2017,10.1051/0004-6361/201730932,"Brienza, M.; Godfrey, L.; Morganti, R., et al., Astronomy & Astrophysics, Volume 606, id.A98, Search and modelling of remnant radio galaxies in the LOFAR Lockman Hole field "
2017,10.1051/0004-6361/201730701,"Reid, Hamish A. S.; Kontar, Eduard P., Astronomy & Astrophysics, Volume 606, id.A141, Imaging spectroscopy of type U and J solar radio bursts with LOFAR "
2017,10.3847/2041-8213/aa91c9,"Abbott, B. P.; Abbott, R.; Abbott, T. D., et al., The Astrophysical Journal Letters, Volume 848, Issue 2, article id. L12, Multi-messenger Observations of a Binary Neutron Star Merger "
2017,10.3847/2041-8213/aa8f92,"Vedantham, H. K.; de Bruyn, A. G.; Macquart, J. -P., The Astrophysical Journal Letters, Volume 849, Issue 1, article id. L3, A Dense Plasma Globule in the Solar Neighborhood "
2017,10.1038/s41467-017-01307-8,"Kontar, E. P.; Yu, S.; Kuznetsov, A. A., et al., Nature Communications, Volume 8, id. 1515, Imaging spectroscopy of solar radio burst fine structures "
2017,10.1103/PhysRevD.95.083004,"Trinh, T. N. G.; Scholten, O.; Bonardi, A., et al., 2017, PhysRevD, Vol 95, issue 8, id.083004"
2017,10.1126/sciadv.1701634,"de Gasperin, Francesco; Intema, Huib T.; Shimwell, Timothy W., et al., 2017, Science Advances, vol. 3, issue 10, p. e1701634, Gentle reenergization of electrons in merging galaxy clusters "
2018,10.1093/mnras/stx2568,"Wilber, A.; Brüggen, M.; Bonafede, A., et al., MNRAS Volume 473, Issue 3, LOFAR discovery of an ultra-steep radio halo and giant head-tail radio galaxy in Abell 1132 "
2018,10.1093/mnras/stx2915,"Farnes, J. S.; Heald, G.; Junklewitz, H., et al., MNRAS Volume 474, Issue 3, Source finding in linear polarization for LOFAR, and SKA predecessor surveys, using Faraday moments "
2018,10.1093/mnras/stx2876,"Savini, F.; Bonafede, A.; Brüggen, M., et al., MNRAS, Volume 474, Issue 4, Studying the late evolution of a radio-loud AGN in a galaxy group with LOFAR "
2018,10.1093/mnras/stx2869,"Heesen, V.; Croston, J. H.; Morganti, R., et al., MNRAS Volume 474, Issue 4, LOFAR reveals the giant: a low-frequency radio continuum study of the outflow in the nearby FR I radio galaxy 3C 31 "
2018,10.3847/1538-4357/aa9f13,"Rajpurohit, K.; Hoeft, M.; van Weeren, R. J., et al., 2018, ApJ, vol 852, article id. 65, Deep VLA Observations of the Cluster 1RXS J0603.3+4214 in the Frequency Range of 1─2 GHz "
2018,10.1051/0004-6361/201732543,"Ramírez-Olivencia, N.; Varenius, E.; Pérez-Torres, M., et al., 2018, A&A, Vol. 610, id.L18, Sub-arcsecond imaging of Arp 299-A at 150 MHz with LOFAR: Evidence for a starburst-driven outflow"
2018,10.1093/mnras/stx3340,"Salas, P., Oonk, J.B.R., van Weeren, R.J., et al., 2018, MNRAS, Vol. 475, Issue 2, p.2496, Mapping low-frequency carbon radio recombination lines towards Cassiopeia A at 340, 148, 54, and 43 MHz "
2018,10.1093/mnras/sty016,"Gürkan, G.; Hardcastle, M. J.; Smith, D. J. B., et al., 2018, MNRAS, 475, 3, 3010, LOFAR/H-ATLAS: the low-frequency radio luminosity-star formation rate relation "
2018,10.1093/mnras/sty026,"Williams, W. L.; Calistro Rivera, G.; Best, P. N., et al., 2018, MNRAS, 475, 3, 3429, LOFAR-Boötes: properties of high- and low-excitation radio galaxies at 0.5 < z < 2.0 "
2018,10.1093/mnras/sty081,"Broderick, J. W.; Fender, R. P.; Miller-Jones, J. C. A., et al., 2018, MNRAS, 475, 4, 5360, LOFAR 150-MHz observations of SS 433 and W 50 "
2018,10.1093/mnras/sty325,"Heesen, V.; Rafferty, D. A.; Horneffer, A., et al., 2018, MNRAS, 476, 2, 1756, Exploring the making of a galactic wind in the starbursting dwarf irregular galaxy IC 10 with LOFAR "
2018,10.1093/mnras/sty349,"Polzin, E. J.; Breton, R. P.; Clarke, A. O., et al, 2018, MNRAS, 476, 2, 1968, The low-frequency radio eclipses of the black widow pulsar J1810+1744 "
2018,10.1093/mnras/sty368,"Michilli, D.; Hessels, J. W. T.; Donner, J. Y., et al., 2018, MNRAS, 476, 2, 2704, Low-frequency pulse profile variation in PSR B2217+47: evidence for echoes from the interstellar medium"
2018,10.3389/fspas.2018.00005,"Retana-Montenegro, Edwin; Röttgering, Huub, 2018, Frontiers in Astronomy and Space Sciences, Volume 5, id.5, On the selection of high-z quasars using LOFAR observations"
2018,10.3847/1538-4357/aaa9bf,"Chen, Xingyao; Kontar, Eduard P.; Yu, Sijie, et al., 2018, ApJ, 856, 1, id.73, Fine Structures of Solar Radio Type III Bursts and Their Possible Relationship with Coronal Density Turbulence "
2018,10.1051/0004-6361/201629017,"Mann, G.; Breitling, F.; Vocks, C., et al., 2018, A&A 611, A57, Tracking of an electron beam through the solar corona with LOFAR "
2018,10.1002/2017JD028132,"Hare, B. M.; Scholten, O.; Bonardi, A., et al., 2018, Journal of Geophysical Research: Atmospheres, Volume 12, LOFAR Lightning Imaging: Mapping Lightning With Nanosecond Precision "
2018,10.1016/j.ascom.2018.02.003,"Carbone, D.; Garsden, H.; Spreeuw, H., et al., 2018, A&C, 23, 92, PySE: Software for extracting sources from radio images "
2018,10.1051/0004-6361/201731965 ,"O'Gorman, E.; Coughlan, C. P.; Vlemmings, W., et al., 2018, A&A 612, A52, A search for radio emission from exoplanets around evolved stars "
2018,10.1109/LAWP.2018.2805999,"Bolli, Pietro; Pupillo, Giuseppe; Paonessa, Fabio, et al., 2018, IEEE Antennas and Wireless Propagation Letters, vol. 17, issue 4, Near-Field Experimental Verification of the EM Models for the LOFAR Radio Telescope "
2018,10.1016/j.ascom.2018.04.001,"Cendes, Y.; Prasad, P.; Rowlinson, A., 2018, A&C 23, 103, RFI flagging implications for short-duration transients "
2018,10.1051/0004-6361/201732298,"Reid, Hamish A. S.; Kontar, Eduard P., 614, A69,  Solar type III radio burst time characteristics at LOFAR frequencies and the implications for electron beam transport "
2018,10.1051/0004-6361/201630067 ,"Vocks, C.; Mann, G.; Breitling, F., et al., 2018, A&A 614,54,  LOFAR observations of the quiet solar corona "
2018,10.1051/0004-6361/201732228,"Van Eck, C. L.; Haverkorn, M.; Alves, M. I. R., et al., 2018, A&A 613, 58,  Polarized point sources in the LOFAR Two-meter Sky Survey: A preliminary catalog "
2018,10.1093/mnras/sty414,"Wilber, A.; Brüggen, M.; Bonafede, A. et al., 2018, MNRAS 476, 3415,  Search for low-frequency diffuse radio emission around a shock in the massive galaxy cluster MACS J0744.9+3927 "
2018,10.1109/TAP.2018.2816651,"Virone, Giuseppe; Bolli, Pietro; Paonessa, Fabio; Pupillo, Giuseppe, et al. 2018, IEEE Transactions on Antennas and Propagation, vol. 66, issue 5,  Strong Mutual Coupling Effects on LOFAR: Modeling and In Situ Validation "
2018,10.1051/0004-6361/201732411,"Arias, M.; Vink, J.; de Gasperin, F.; Salas, P. et al., 2018, A&A 612, A110,  Low-frequency radio absorption in Cassiopeia A "
2018,10.3847/1538-4357/aac32e,"Driessen, Laura N.; Domček, Vladimír; Vink, Jacco, et al. 2018, ApJ 860, 133,  Investigating Galactic Supernova Remnant Candidates Using LOFAR "
2018,10.3847/1538-4357/aabf8a,"Lynch, Ryan S.; Swiggum, Joseph K.; Kondratiev, Vlad I., et al. 2018, ApJ 859, 93,  The Green Bank North Celestial Cap Pulsar Survey. III. 45 New Pulsar Timing Solutions "
2018,10.1093/mnras/sty1121,"Bonafede, A.; Brüggen, M.; Rafferty, D.,  et al. 2018, MNRAS 478, 2927,  LOFAR discoveryof radio emission in MACS J0717.5+3745 "
2018,10.1093/mnras/sty1125,"Savini, F.; Bonafede, A.; Brüggen, M., et al., MNRAS 478, 2234,  First evidence of diffuse ultra-steep-spectrum radio emission surrounding the cool core of a cluster "
2018,10.1093/mnras/sty1123,"Hoang, D. N.; Shimwell, T. W.; van Weeren, R. J. et al., 2018, MNRAS 478, 2, 2218,  Radio observations of the double-relic galaxy cluster Abell 1240 "
2018,10.1093/mnras/sty1095,"Gehlot, B. K.; Koopmans, L. V. E.; de Bruyn, A. G. et al., 2018, MNRAS 478, 2, 1484,  Wide-field LOFAR-LBA power-spectra analyses: impact of calibration, polarization leakage, and ionosphere "
2018,10.1093/mnras/sty1102,"Botteon, A.; Shimwell, T. W.; Bonafede, A., et al. 2018, MNRAS 478, 1, 885,  LOFAR discovery of a double radio halo system in Abell 1758 and radio/X-ray study of the cluster pair "
2018,10.1093/mnras/sty851,"Brüggen, M.; Rafferty, D.; Bonafede, A., et al. 2018, MNRAS 477, 3, 3461,  Discovery of large-scale diffuse radio emission in low-mass galaxy cluster Abell 1931 "
2018,10.1088/1361-6382/aac412 ,"Verbiest, Joris P. W.; Shaifullah, G. M., 2018, Classical and Quantum Gravity, Volume 35, Issue 13, article id. 133001,  Measurement uncertainty in pulsar timing array experiments "
2018,10.3847/1538-4357/aac77e,"Kolotkov, Dmitrii Y.; Nakariakov, Valery M.; Kontar, Eduard P., 2018, ApJ 861, 1, 33,  Origin of the Modulation of the Radio Emission from the Solar Corona by a Fast Magnetoacoustic Wave "
2018,10.1051/0004-6361/201833291,"Jelić, Vibor; Prelogović, David; Haverkorn, Marijke, et al., 2018, A&A 615, L3,  Magnetically aligned straight depolarization canals and the rolling Hough transform "
2018,10.1051/0004-6361/201732308,"Zucca, P.; Morosan, D. E.; Rouillard, A. P., et al., 2018, A&A 615, A89,  Shock location and CME 3D reconstruction of a solar type II radio burst with LOFAR "
2018,10.1093/mnrasl/sly049,"Shaifullah, G.; Tiburzi, C.; Osłowski, S., et al. 2018, MNRAS 477, 1, L25,  Multifrequency behaviour of the anomalous events of PSR J0922+0638 "
2018,10.1051/0004-6361/201832837 ,"Mulcahy, D. D.; Horneffer, A.; Beck, R. et al., 2018, A&A615, A98, Investigation of the cosmic ray population and magnetic field strength in the halo of NGC 891"
2018,10.1051/0004-6361/201732436,"König, S.; Aalto, S.; Muller, S., et al., 2018, A&A615, A122, Major impact from a minor merger. The extraordinary hot molecular gas flow in the Eye of the NGC 4194 Medusa galaxy "
2018,10.1051/0004-6361/201833012 ,"de Gasperin, F.; Mevius, M.; Rafferty, D. A., et al., 2018, A&A615, A179,  The effect of the ionosphere on ultra-low-frequency radio-interferometric observations "
2018,10.1051/0004-6361/201732106 ,"Bilous A.V., 2018, A&A616 A119,  PSR B0943+10: low-frequency study of subpulse periodicity in the Bright mode with LOFAR "
2018,10.1007/s11207-018-1333-2 ,"Sharykin, I. N.; Kontar, E. P.; Kuznetsov, A. A., 2018, Solar Physics, Volume 293, Issue 8, article id. 115,  LOFAR Observations of Fine Spectral Structure Dynamics in Type IIIb Radio Bursts "
2018,10.3847/1538-4357/aad738 ,"Di Gennaro, G.; van Weeren, R. J.; Hoeft, M. et al., 2018, ApJ 865, id.24,  Deep Very Large Array Observations of the Merging Cluster CIZA J2242.8+5301: Continuum and Spectral Imaging "
2018,10.1051/0004-6361/201732157,"Neld, A.; Horellou, C.; Mulcahy, D. D., et a., 2018, A&A617, id.A136,  Reliable detection and characterization of low-frequency polarized sources in the LOFAR M51 field "
2018,10.1016/j.asr.2018.06.037,"Dąbrowski, B. P.; Morosan, D. E.; Fallows, R. A., et al., 2018, Advances in Space Research, Volume 62, Issue 7, p. 1895-1903,  Observations of the Sun using LOFAR Bałdy station "
2018,10.1016/j.asr.2018.06.047,"Błaszkiewicz, L. P.; Lewandowski, W.; Krankowski, A., 2018, Advances in Space Research, Volume 62, Issue 7, p. 1904, PL612 LOFAR station sensitivity measurements in the context of its application for pulsar observations "
2018,10.1093/mnras/sty2072 ,"Michilli, D.; Hessels, J. W. T.; Lyon, R. J., et al., 2018, MNRAS480, Issue 3, p.3457,  Single-pulse classifier for the LOFAR Tied-Array All-sky Survey "
2018,10.1093/mnras/sty2075,"Hermsen, W.; Kuiper, L.; Basu, R., et al., 2018, MNRAS 480, Issue 3, p.3655,  Discovery of synchronous X-ray and radio moding of PSR B0823+26 "
2018,10.1093/mnras/sty2198,"Read, S. C.; Smith, D. J. B.; Gürkan, G., 2018, MNRAS 480, Issue 4, p.5625-,  The Far-Infrared Radio Correlation at low radio frequency with LOFAR/H-ATLAS "
2018,10.1051/0004-6361/201832846,"Brienza, M.; Morganti, R.; Murgia, M. et al., 2018, Duty cycle of the radio galaxy B2 0258+35 , A&A618 A45"
2018,10.3847/1538-4357/aade88,"Tan, C. M.; Bassa, C. G.; Cooper, S. et al. 2018, LOFAR Discovery of a 23.5 s Radio Pulsar , ApJ 866, 1, id. 54"
2018,10.1051/0004-6361/201833133,"Chyży, K. T.; Jurusik, W.; Piotrowska, J., et al. 2018, LOFAR MSSS: Flattening low-frequency radio continuum spectra of nearby galaxies , A&A 619 A36"
2018,10.3390/galaxies6040126,"O'Sullivan, Shane; Brüggen, Marcus; Van Eck, Cameron, et al. 2018, Untangling Cosmic Magnetic Fields: Faraday Tomography at Metre Wavelengths with LOFAR , Galaxies, vol. 6, 4, p.126 "
2018,10.1051/0004-6361/201833677,"Retana-Montenegro, E.; Röttgering, H. J. A.; Shimwell, T. W., et al. 2018, Deep LOFAR 150 MHz imaging of the Boötes field: Unveiling the faint low-frequency sky, A&A 620, A74"
2018,10.3847/1538-4357/aae9e5,"Chrysaphi, Nicolina; Kontar, Eduard P.; Holman, Gordon D.; Temmer, Manuela (2018), CME-driven Shock and Type II Solar Radio Burst Band Splitting , ApJ 686, 2, id. 79"
2019,10.1051/0004-6361/201732515,"ter Veen, S.; Enriquez, J. E.; Falcke, H. et al. (2019), The FRATS project: real-time searches for fast radio bursts and other fast transients with LOFAR at 135 MHz , A&A 621 A57"
2019,10.1093/mnras/sty2810,"Kuiack, Mark; Huizinga, Folkert; Molenaar, Gijs, et al. (2019), AARTFAAC flux density calibration and Northern hemisphere catalogue at 60 MHz , MNRAS 482, 2502"
2019,10.1093/mnras/sty3324,"Porayko, N. K.; Noutsos, A.; Tiburzi, C., et al. 2019, Testing the accuracy of the ionospheric Faraday rotation corrections through LOFAR observations of bright northern pulsars "
2019,10.1051/0004-6361/201833559,"Shimwell, T. W.; Tasse, C.; Hardcastle, M. J. , et al. 2019, The LOFAR Two-metre Sky Survey. II. First data release"
2019,10.1051/0004-6361/201833564,"Williams, W. L.; Hardcastle, M. J.; Best, P. N., et al. 2019, The LOFAR Two-metre Sky Survey. III. First data release: Optical/infrared identifications and value-added catalogue"
2019,10.1051/0004-6361/201833562,"Duncan, K. J.; Sabater, J.; Röttgering, H. J. A., et al. 2019, The LOFAR Two-metre Sky Survey. IV. First Data Release: Photometric redshifts and rest-frame magnitudes"
2019,10.1051/0004-6361/201833906,"Hale, C. L.; Williams, W.; Jarvis, M. J., et al. 2019, LOFAR observations of the XMM-LSS field"
2019,10.1051/0004-6361/201833867,"de Gasperin, F.; Dijkema, T. J.; Drabent, A., et al. 2019, Systematic effects in LOFAR data: A unified calibration strategy"
2019,10.1051/0004-6361/201833865,"Arias, M.; Vink, J.; Iacobelli, M., et al. 2019, A low-frequency view of mixed-morphology supernova remnant VRO 42.05.01, and its neighbourhood"
2019,10.1051/0004-6361/201834052,"Emig, K. L.; Salas, P.; de Gasperin, F., et al. 2019, The first detection of radio recombination lines at cosmological distances"
2019,10.1051/0004-6361/201833905,"Heesen, V.; Buie, E., II; Huff, C. J., et al. 2019, Calibrating the relation of low-frequency radio continuum to star formation rate at 1 kpc scale with LOFAR"
2019,10.1051/0004-6361/201833931,"Miskolczi, A.; Heesen, V.; Horellou, C., et al. 2019, CHANG-ES XII. A LOFAR and VLA view of the edge-on star-forming galaxy NGC 3556"
2019,10.1051/0004-6361/201834019,"Croston, J. H.; Hardcastle, M. J.; Mingo, B., et al. 2019, The environments of radio-loud AGN from the LOFAR Two-Metre Sky Survey (LoTSS)"
2019,10.1051/0004-6361/201833892,"Gürkan, Gülay; Hardcastle, M. J.; Best, P. N., et al. 2019, LoTSS/HETDEX: Optical quasars. I. Low-frequency radio properties of optically selected quasars"
2019,10.1051/0004-6361/201833893,"Hardcastle, M. J.; Williams, W. L.; Best, P. N. , et al. 2019, Radio-loud AGN in the first LoTSS data release. The lifetimes and environmental impact of jet-driven sources"
2019,10.1051/0004-6361/201833973,"Mahatma, V. H.; Hardcastle, M. J.; Williams, W. L., et al. 2019, LoTSS DR1: Double-double radio galaxies in the HETDEX field"
2019,10.1051/0004-6361/201833937,"Mooney, S.; Quinn, J.; Callingham, J. R., et al. 2019, Blazars in the LOFAR Two-Metre Sky Survey first data release"
2019,10.1051/0004-6361/201833821,"Morabito, L. K.; Matthews, J. H.; Best, P. N., et al. 2019, The origin of radio emission in broad absorption line quasars: Results from the LOFAR Two-metre Sky Survey"
2019,10.1051/0004-6361/201833832,"O'Sullivan, S. P.; Machalski, J.; Van Eck, C. L., et al. 2019, The intergalactic magnetic field probed by a giant radio galaxy"
2019,10.1051/0004-6361/201833883,"Sabater, J.; Best, P. N.; Hardcastle, M. J., et al. 2019, The LoTSS view of radio AGN in the local Universe. The most massive galaxies are always switched on"
2019,10.1051/0004-6361/201833967,"Stacey, H. R.; McKean, J. P.; Jackson, N. J., et al., 2019, LoTSS/HETDEX: Disentangling star formation and AGN activity in gravitationally lensed radio-quiet quasars"
2019,10.1051/0004-6361/201833861,"Botteon, A.; Shimwell, T. W.; Bonafede, A., et al. 2019, The spectacular cluster chain Abell 781 as observed with LOFAR, GMRT, and XMM-Newton"
2019,10.1051/0004-6361/201833900,"Hoang, D. N.; Shimwell, T. W.; van Weeren, R. J., et al. 2019, Radio observations of the merging galaxy cluster Abell 520"
2019,10.1051/0004-6361/201834025,"Hoang, D. N.; Shimwell, T. W.; van Weeren, R. J., et al. 2019, Characterizing the radio emission from the binary galaxy cluster merger Abell 2146"
2019,10.1051/0004-6361/201833992,"Mandal, S.; Intema, H. T.; Shimwell, T. W., et al. 2019, Ultra-steep spectrum emission in the merging galaxy cluster Abell 1914"
2019,10.1051/0004-6361/201833934,"Nikiel-Wroczyński, B.; Berger, A.; Herrera Ruiz, N., et al. 2019, Exploring the properties of low-frequency radio emission and magnetic fields in a sample of compact galaxy groups using the LOFAR Two-Metre Sky Survey (LoTSS)"
2019,10.1051/0004-6361/201833882,"Savini, F.; Bonafede, A.; Brüggen, M., et al. 2019, A LOFAR study of non-merging massive galaxy clusters"
2019,10.1051/0004-6361/201833884,"Wilber, A.; Brüggen, M.; Bonafede, A. et al. 2019, Evolutionary phases of merging clusters as seen by LOFAR"
2019,10.1051/0004-6361/201833939,"Clarke, Brendan P.; Morosan, Diana E.; Gallagher, Peter T., et al. 2019, Properties and magnetic origins of solar S-bursts"
2019,10.1051/0004-6361/201833875,"Houben, L. J. M.; Spitler, L. G.; ter Veen, S., et al. 2019, Constraints on the low frequency spectrum of FRB 121102"
2019,10.1051/0004-6361/201834777,"Van Eck, C. L.; Haverkorn, M.; Alves, M. I. R., et al. 2019, Diffuse polarized emission in the LOFAR Two-meter Sky Survey"
2019,10.1051/0004-6361/201833922,"Straal, S. M.; van Leeuwen, J., A LOFAR search for steep-spectrum pulsars in supernova remnants and pulsar wind nebulae"
2019,10.3847/1538-4357/ab01ff,"Harris, D. E.; Moldón, J.; Oonk, J. R. R, et al. 2019, LOFAR Observations of 4C+19.44: On the Discovery of Low-frequency Spectral Curvature in Relativistic Jet Knots"
2019,10.3847/1538-4357/ab03d8,"Gordovskyy, Mykola; Kontar, Eduard; Browning, Philippa, et al. 2019, Frequency-Distance Structure of Solar Radio Sources Observed by LOFAR"
2019,10.1051/0004-6361/201834059,"Donner, J. Y.; Verbiest, J. P. W.; Tiburzi, C., et al. 2019, First detection of frequency-dependent, time-variable dispersion measures"
2019,10.1051/0004-6361/201832848,"Turner, Jake D.; Grießmeier, Jean-Mathias; Zarka, Philippe, et al. 2019, The search for radio emission from exoplanets using LOFAR beam-formed observations: Jupiter as an exoplanet"
2019,10.1093/mnras/stz214,"Sobey, C.; Bilous, A. V.; Grießmeier, J. -M, et al. 2019, Low-frequency Faraday rotation measures towards pulsars using LOFAR: probing the 3D Galactic halo magnetic field"
2019,10.1093/mnras/stz347,"Thwala, S. A.; Shafi, N.; Colafrancesco, S., et al. 2019, The study of extended emission in a radio galaxy detected in the LOFAR Two-Metre Sky Survey"
2019,10.1016/j.astropartphys.2019.03.004,"Mulrey, K.; Bonardi, A.; Buitink, S., et al. 2019, Calibration of the LOFAR low-band antennas using the Galaxy and a model of the signal chain"
